Function.ID	Name	IowaCorn1	IowaCorn2	IowaCorn3	IowaCorn4	IowaCorn5	IowaCorn6	IowaCorn7	IowaNative Prairie10	IowaNative Prairie11	IowaNative Prairie12	IowaNative Prairie13	IowaNative Prairie8	IowaNative Prairie9	KansasCorn14	KansasCorn15	KansasNative Prairie16	KansasNative Prairie17	WisconsinCorn20	WisconsinNative Prairie18	WisconsinNative Prairie19
COG1518	CRISPR/Cas system-associated endonuclease Cas1	2.23448707349228e-05	5.75937338017624e-05	6.75915164403999e-05	5.37408019896342e-05	6.57685881634248e-05	0.000135631659986993	5.48686931950107e-05	6.83627893245784e-05	3.40726627927942e-05	0.000103560750633618	3.55089178621534e-05	5.22421375582975e-05	1.37571766604912e-05	8.68596543420055e-06	1.08707740910988e-05	1.32016686909225e-05	9.44192168328731e-06	6.13172164436423e-06	4.1326298678936e-05	1.67965434689605e-05
COG1567	CRISPR/Cas system CSM-associated protein Csm4, group 5 of RAMP superfamily	0	9.59895563362706e-06	2.96743242909073e-06	2.04078994897345e-06	1.26478054160432e-06	6.67040950755702e-06	2.67652161926881e-06	7.81289020852325e-06	2.83938856606618e-06	1.42297214611078e-05	4.28966792965612e-06	0	0	0	2.09053347905745e-06	0	2.37698727691149e-06	1.22634432887285e-06	0	0
COG1583	CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily	0	2.87968669008812e-05	9.89144143030243e-06	3.40131658162241e-06	7.58868324962594e-06	2.22346983585234e-05	8.69869526262365e-06	6.69676303587707e-06	2.83938856606618e-06	1.58108016234531e-05	6.43450189448418e-06	0	4.58572555349707e-06	0	1.67242678324596e-06	0	3.49945349100858e-06	4.08781442957615e-06	0	6.91622378133667e-06
COG1769	CRISPR/Cas system CMR-associated protein Cmr3, group 5 of RAMP superfamily	8.93794829396912e-06	4.79947781681353e-06	3.62686185777756e-06	0	0	1.11173491792617e-06	2.00739121445161e-06	9.48708096749252e-06	1.41969428303309e-06	1.58108016234531e-05	5.71955723954149e-06	0	0	0	4.18106695811491e-06	1.88595267013179e-06	4.48986485638837e-06	3.27025154366092e-06	4.59181096432622e-06	2.96409590628714e-06
COG2254	CRISPR/Cas system-associated endonuclease Cas3-HD	4.46897414698456e-06	1.43984334504406e-05	7.91315314424194e-06	2.72105326529793e-06	2.52956108320865e-06	1.55642888509664e-05	7.36043445298924e-06	4.74354048374626e-06	0	6.32432064938124e-06	2.62146373478985e-06	0	0	0	1.67242678324596e-06	0	1.58465818460766e-06	2.04390721478808e-06	0	0
COG3337	CRISPR/Cas system CMR-associated protein Cmr5, small subunit	0	0	2.3080030004039e-06	0	0	3.33520475377851e-06	6.69130404817204e-07	5.0225722769078e-06	0	5.53378056820859e-06	3.33640838973254e-06	0	0	4.34298271710028e-06	1.67242678324596e-06	0	7.9232909230383e-07	4.08781442957616e-07	0	9.88031968762381e-07
COG3512	CRISPR/Cas system-associated protein Cas2, endoribonuclease	0	0	5.27543542949463e-06	6.80263316324483e-06	5.05912216641729e-06	1.3340819015114e-05	2.00739121445161e-06	1.95322255213081e-06	2.83938856606618e-06	1.58108016234531e-06	1.42988930988537e-06	0	0	0	4.18106695811491e-07	0	7.26301667945178e-07	4.08781442957616e-07	0	1.97606393752476e-06
COG3513	CRISPR/Cas system Type II  associated protein, contains McrA/HNH and RuvC-like nuclease domains	4.46897414698456e-06	0	6.75915164403999e-05	2.51697427040059e-05	1.39125859576476e-05	9.89444076954291e-05	4.55008675275698e-05	5.38531360801781e-05	1.27772485472978e-05	7.03580672243663e-05	4.17051048716567e-05	1.42478556977175e-05	9.17145110699415e-06	2.17149135855014e-06	3.17761088816733e-05	1.13157160207907e-05	3.20233008139465e-05	2.69795752352026e-05	1.83672438573049e-05	1.97606393752476e-05
COG3649	CRISPR/Cas system type I-B associated protein Csh2, Cas7 group, RAMP superfamily	8.93794829396912e-06	1.91979112672541e-05	2.01125975749483e-05	1.15644763775162e-05	1.13830248744389e-05	3.89107221274159e-05	1.07060864770753e-05	2.39967342118928e-05	1.27772485472978e-05	3.00405230845609e-05	1.3583948443911e-05	4.7492852325725e-06	0	6.51447407565042e-06	5.01728034973789e-06	3.77190534026358e-06	4.42383743202972e-06	4.08781442957615e-06	0	7.90425575009905e-06
COG4006	CRISPR/Cas system-associated protein Csm6, COG1517 family	4.46897414698456e-06	0	4.6160060008078e-06	0	0	7.78214442548319e-06	6.02217364335483e-06	9.48708096749252e-06	0	1.66013417046258e-05	4.28966792965612e-06	0	0	0	3.34485356649193e-06	0	2.37698727691149e-06	2.86147010070331e-06	0	9.88031968762381e-07
COG4343	CRISPR/Cas system-associated exonuclease Cas4, RecB family	4.46897414698456e-06	1.43984334504406e-05	8.90229728727219e-06	6.80263316324483e-07	0	1.11173491792617e-05	7.36043445298924e-06	7.5338584153617e-06	0	1.10675611364172e-05	3.33640838973254e-06	0	0	0	3.34485356649193e-06	0	5.1501390999749e-06	4.49659587253377e-06	0	4.94015984381191e-06
